IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.237.90,2087,TRUE,SIN,Asia Pacific,Singapore,298 ms,3426 kB/s
47.236.253.41,2096,TRUE,SIN,Asia Pacific,Singapore,309 ms,3418 kB/s
47.236.237.90,2096,TRUE,SIN,Asia Pacific,Singapore,334 ms,3408 kB/s
47.236.202.91,8443,TRUE,SIN,Asia Pacific,Singapore,311 ms,3407 kB/s
152.70.155.147,2053,TRUE,LAX,North America,Los Angeles,271 ms,3406 kB/s
47.76.204.76,2087,TRUE,HKG,Asia Pacific,Hong Kong,66 ms,3406 kB/s
47.236.117.48,443,TRUE,SIN,Asia Pacific,Singapore,337 ms,3396 kB/s
8.222.146.222,2087,TRUE,SIN,Asia Pacific,Singapore,306 ms,3390 kB/s
47.236.146.249,2053,TRUE,SIN,Asia Pacific,Singapore,302 ms,3389 kB/s
8.222.214.231,2053,TRUE,SIN,Asia Pacific,Singapore,308 ms,3368 kB/s
47.237.100.206,2096,TRUE,SIN,Asia Pacific,Singapore,305 ms,3364 kB/s
8.222.237.131,2083,TRUE,SIN,Asia Pacific,Singapore,296 ms,3343 kB/s
129.146.248.140,443,TRUE,LAX,North America,Los Angeles,270 ms,3340 kB/s
47.236.202.91,2053,TRUE,SIN,Asia Pacific,Singapore,315 ms,3327 kB/s
47.236.10.182,8443,TRUE,SIN,Asia Pacific,Singapore,307 ms,3325 kB/s
47.236.254.120,2096,TRUE,SIN,Asia Pacific,Singapore,318 ms,3316 kB/s
8.219.153.237,2053,TRUE,NRT,Asia Pacific,Tokyo,381 ms,3314 kB/s
47.236.253.41,2053,TRUE,SIN,Asia Pacific,Singapore,337 ms,3314 kB/s
8.219.153.237,2083,TRUE,NRT,Asia Pacific,Tokyo,385 ms,3311 kB/s
129.153.213.8,443,TRUE,LAX,North America,Los Angeles,264 ms,3306 kB/s
8.219.114.201,2087,TRUE,SIN,Asia Pacific,Singapore,310 ms,3272 kB/s
47.236.205.188,8443,TRUE,SIN,Asia Pacific,Singapore,304 ms,3263 kB/s
47.236.253.41,8443,TRUE,SIN,Asia Pacific,Singapore,306 ms,3248 kB/s
8.222.134.170,2087,TRUE,SIN,Asia Pacific,Singapore,304 ms,3229 kB/s
47.236.167.231,2083,TRUE,SIN,Asia Pacific,Singapore,309 ms,3225 kB/s
47.236.146.249,443,TRUE,SIN,Asia Pacific,Singapore,303 ms,3206 kB/s
47.236.145.85,2096,TRUE,SIN,Asia Pacific,Singapore,322 ms,3205 kB/s
47.236.146.249,2087,TRUE,SIN,Asia Pacific,Singapore,316 ms,3190 kB/s
47.236.10.182,2083,TRUE,SIN,Asia Pacific,Singapore,331 ms,3176 kB/s
47.237.100.206,2087,TRUE,SIN,Asia Pacific,Singapore,297 ms,3171 kB/s
8.219.153.237,8443,TRUE,NRT,Asia Pacific,Tokyo,388 ms,3170 kB/s
47.237.10.1,2096,TRUE,SIN,Asia Pacific,Singapore,318 ms,3142 kB/s
47.236.180.51,2053,TRUE,SIN,Asia Pacific,Singapore,331 ms,3133 kB/s
47.237.95.13,2087,TRUE,SIN,Asia Pacific,Singapore,307 ms,3114 kB/s
47.236.93.176,2096,TRUE,SIN,Asia Pacific,Singapore,329 ms,3094 kB/s
129.146.46.164,443,TRUE,LAX,North America,Los Angeles,270 ms,3087 kB/s
152.70.155.147,2087,TRUE,LAX,North America,Los Angeles,257 ms,3051 kB/s
168.138.46.67,443,TRUE,KIX,Asia Pacific,Osaka,227 ms,3026 kB/s
47.237.8.82,2053,TRUE,SIN,Asia Pacific,Singapore,321 ms,3017 kB/s
